Verification log – 2026-05-29 09:38:47 UTC
Execution time: 37.9s
Total proxies tested: 228
Working proxies found: 86
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
2026-05-29T09:38:44.786205  87.248.129.210:4455            OK     0.103s   eu
2026-05-29T09:38:44.788147  195.254.165.71:9443            FAIL   -        eu
2026-05-29T09:38:44.791887  7372767170.ir.fulle7.info:8443 OK     0.289s   eu
2026-05-29T09:38:44.795631  8772773337566737.ir.fulle7.info:8443 OK     0.288s   eu
2026-05-29T09:38:44.797161  45.135.194.28:37               FAIL   -        eu
2026-05-29T09:38:44.798539  best-ruter.eyvazi-master.ir:9741 FAIL   -        eu
2026-05-29T09:38:44.804285  r11.proxytg.space:8443         FAIL   -        eu
2026-05-29T09:38:44.808281  37.27.23.25:155                OK     0.115s   eu
2026-05-29T09:38:44.820883  178.105.240.97:61016           OK     0.096s   eu
2026-05-29T09:38:44.825141  87.248.129.205:25565           OK     0.091s   eu
2026-05-29T09:38:44.837102  ader.dynoporo.com:443          FAIL   -        eu
2026-05-29T09:38:44.838077  Komatso-Japan.www.google.com.ganool-com.info:300 FAIL   -        eu
2026-05-29T09:38:44.845721  r19.proxytg.space:8443         OK     0.237s   eu
2026-05-29T09:38:44.848234  r15.proxytg.space:8443         OK     0.339s   eu
2026-05-29T09:38:44.852689  87.248.129.129:15              OK     0.129s   eu
2026-05-29T09:38:44.854796  172.65.114.183:25565           OK     0.002s   eu
2026-05-29T09:38:44.857274  syntax.ddnscdn.sbs.:443        OK     0.111s   eu
2026-05-29T09:38:44.864254  weblog.forwarding-co.site:443  FAIL   -        eu
2026-05-29T09:38:44.865295  93763273877.ir.fulle7.info:8443 OK     0.128s   eu
2026-05-29T09:38:44.865729  177267374371.ir.fulle7.info:8443 OK     0.264s   eu
2026-05-29T09:38:44.876782  80.96.112.222:443              OK     0.117s   ru
2026-05-29T09:38:44.877138  87.248.129.210:4455            OK     0.101s   eu
2026-05-29T09:38:44.879674  776.ir.fulle7.info:8443        OK     0.128s   eu
2026-05-29T09:38:44.880044  87.248.129.13:15               OK     0.094s   eu
2026-05-29T09:38:44.881613  73723776533677.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T09:38:44.882905  178.105.218.231:8443           FAIL   -        eu
2026-05-29T09:38:44.889608  37.27.17.91:155                OK     0.115s   eu
2026-05-29T09:38:44.899856  r10.proxytg.space:8443         FAIL   -        eu
2026-05-29T09:38:44.910507  r23.proxytg.space:8443         OK     0.277s   eu
2026-05-29T09:38:44.926386  737276713370.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T09:38:44.947261  mimecraft4ir.homes:25565       OK     0.139s   eu
2026-05-29T09:38:44.965263  new.tproxy.rest:8443           OK     0.46s    eu
2026-05-29T09:38:44.967445  172.65.38.26:9443              OK     0.002s   eu
2026-05-29T09:38:44.970320  r20.proxytg.space:8443         OK     0.224s   eu
2026-05-29T09:38:44.972589  1772677471.ir.fulle7.info:8443 OK     0.124s   eu
2026-05-29T09:38:44.983818  87727733737.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T09:38:44.983974  178.105.188.16:7443            OK     0.101s   eu
2026-05-29T09:38:44.984098  9376273877.ir.fulle7.info:8443 OK     0.297s   eu
2026-05-29T09:38:44.996992  hotmtpro.duckdns.org:443       OK     0.12s    eu
2026-05-29T09:38:45.000478  1.fulle7.info:8443             FAIL   -        eu
2026-05-29T09:38:45.000603  fav.dynme.ovh:9444             OK     0.502s   eu
2026-05-29T09:38:45.001260  z3.ir.fulle7.info:8443         OK     0.163s   eu
2026-05-29T09:38:45.001387  73377727,776.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T09:38:45.016868  www.humaontop.space:443        FAIL   -        eu
2026-05-29T09:38:45.025175  77737277.ir.fulldf.info:8443   FAIL   -        eu
2026-05-29T09:38:45.035013  bomberoo.shop:25565            OK     0.018s   eu
2026-05-29T09:38:45.050310  db.road-digger.info.:8443      OK     0.264s   eu
2026-05-29T09:38:45.090477  r21.proxytg.space:8443         FAIL   -        eu
2026-05-29T09:38:45.098448  ams1.tlgfast.com:443           OK     0.233s   eu
2026-05-29T09:38:45.100470  free-mtproto.flexiblenet.org:443 OK     0.255s   eu
2026-05-29T09:38:45.100868  ams1.tlgfast.com:443           OK     0.224s   eu
2026-05-29T09:38:45.135675  mt.corph.ru:443                OK     0.139s   eu
2026-05-29T09:38:45.168228  Team.hafthashtgswreqetdgsrwrpi-esoiiisolfnwfsksjvwu-urishklfduiwoehv.info.:6773 FAIL   -        eu
2026-05-29T09:38:45.189111  195.254.165.4:8443             OK     0.091s   eu
2026-05-29T09:38:45.190176  195.254.165.23:9443            OK     0.089s   eu
2026-05-29T09:38:45.197664  7337777273777776.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T09:38:45.202107  arezoni9.ir:15                 OK     0.292s   eu
2026-05-29T09:38:45.212511  iran.chitoz6.ir:4443           FAIL   -        eu
2026-05-29T09:38:45.256393  9376327363678677.ir.fulle7.info:8443 OK     0.289s   eu
2026-05-29T09:38:45.267058  proxymtproto.tproxy.rest:8443  OK     0.403s   eu
2026-05-29T09:38:45.449831  thisis.tproxy.store:8443       FAIL   -        eu
2026-05-29T09:38:45.701057  17726737471.ir.fulle7.info:8443 OK     1.204s   eu
2026-05-29T09:38:45.868333  194.5.205.10:443               FAIL   -        eu
2026-05-29T09:38:45.896248  87.248.129.132:16              OK     1.143s   eu
2026-05-29T09:38:46.498740  116.203.134.165:443            FAIL   -        eu
2026-05-29T09:38:46.498764  178.105.195.36:8443            FAIL   -        eu
2026-05-29T09:38:46.498843  195.254.165.168:9443           FAIL   -        eu
2026-05-29T09:38:46.499240  178.105.245.72:8443            FAIL   -        eu
2026-05-29T09:38:46.499249  195.254.165.250:25565          FAIL   -        eu
2026-05-29T09:38:46.499291  49.13.35.164:8443              FAIL   -        eu
2026-05-29T09:38:46.500668  45.82.65.142:443               FAIL   -        eu
2026-05-29T09:38:46.500687  186.246.21.31:443              FAIL   -        ru
2026-05-29T09:38:46.501621  195.254.165.233:65535          FAIL   -        eu
2026-05-29T09:38:46.502613  65.109.146.207:443             FAIL   -        eu
2026-05-29T09:38:46.504640  195.254.165.253:25565          FAIL   -        eu
2026-05-29T09:38:46.505637  212.34.135.78:443              FAIL   -        eu
2026-05-29T09:38:46.505695  91.107.174.85:8443             FAIL   -        eu
2026-05-29T09:38:46.506615  91.107.182.200:8443            FAIL   -        eu
2026-05-29T09:38:46.506664  195.254.165.185:15             FAIL   -        eu
2026-05-29T09:38:46.508547  91.239.192.153:9443            FAIL   -        eu
2026-05-29T09:38:46.508601  195.254.165.249:25565          FAIL   -        eu
2026-05-29T09:38:46.510615  62.238.26.157:8443             FAIL   -        eu
2026-05-29T09:38:46.510681  185.117.0.248:443              FAIL   -        eu
2026-05-29T09:38:46.511632  91.107.162.48:443              FAIL   -        eu
2026-05-29T09:38:46.511688  185.3.200.172:2053             FAIL   -        eu
2026-05-29T09:38:46.512608  77.73.135.70:443               FAIL   -        ru
2026-05-29T09:38:46.513629  87.248.129.14:15               FAIL   -        eu
2026-05-29T09:38:46.513691  iran.zibayi.shop.:888          FAIL   -        eu
2026-05-29T09:38:46.540994  total.beyondeson-co.cfd:443    FAIL   -        eu
2026-05-29T09:38:46.543650  tavakalta-alalah.info:443      FAIL   -        eu
2026-05-29T09:38:46.558433  reboot.tikla.info:443          FAIL   -        eu
2026-05-29T09:38:46.558498  www.merco-karco.website:443    FAIL   -        eu
2026-05-29T09:38:46.575317  3.masi.masi.zban-mas.info:8888 FAIL   -        eu
2026-05-29T09:38:46.578785  khoda.hafez.info:443           FAIL   -        eu
2026-05-29T09:38:46.586869  www.lastingg.baby.:8888        FAIL   -        eu
2026-05-29T09:38:46.592971  89.251.10.2:7443               FAIL   -        eu
2026-05-29T09:38:46.595628  194.156.103.87:443             FAIL   -        eu
2026-05-29T09:38:46.598677  163.5.31.10:8443               FAIL   -        eu
2026-05-29T09:38:46.598728  195.254.165.247:25565          FAIL   -        eu
2026-05-29T09:38:46.608634  138.199.215.229:7443           FAIL   -        eu
2026-05-29T09:38:46.610608  186.246.21.188:443             FAIL   -        eu
2026-05-29T09:38:46.611613  91.239.192.154:7443            FAIL   -        eu
2026-05-29T09:38:46.612192  dns.vdl.lat:853                FAIL   -        ru
2026-05-29T09:38:46.635654  dd.tgproxy.today:8080          FAIL   -        eu
2026-05-29T09:38:46.637242  195.62.32.87:25565             FAIL   -        eu
2026-05-29T09:38:46.642641  87.248.132.38:85               FAIL   -        eu
2026-05-29T09:38:46.646810  91.107.155.175:2053            FAIL   -        eu
2026-05-29T09:38:46.665831  176.65.131.45:25565            FAIL   -        eu
2026-05-29T09:38:46.669974  collider.web-yektanet-com.info:443 FAIL   -        eu
2026-05-29T09:38:46.670620  185.3.200.191:2053             FAIL   -        eu
2026-05-29T09:38:46.671611  185.3.200.186:2054             FAIL   -        eu
2026-05-29T09:38:46.679159  iran.quickdl.info.:443         FAIL   -        eu
2026-05-29T09:38:46.688632  5.75.218.189:8443              FAIL   -        eu
2026-05-29T09:38:46.700641  www.qatar-railways.info.:443   FAIL   -        eu
2026-05-29T09:38:46.712909  185.3.200.185:2053             FAIL   -        eu
2026-05-29T09:38:46.714104  vaslshid.co.uk.:85             FAIL   -        eu
2026-05-29T09:38:46.722611  37.27.23.200:8443              FAIL   -        eu
2026-05-29T09:38:46.724602  new.sitemcinet.co.uk:443       FAIL   -        eu
2026-05-29T09:38:46.733306  www.myssscript.beauty.:8888    FAIL   -        eu
2026-05-29T09:38:46.741423  176.108.240.116:8888           FAIL   -        eu
2026-05-29T09:38:46.746214  tee.mobemouy.com:443           FAIL   -        eu
2026-05-29T09:38:46.775522  65.109.215.115:8443            FAIL   -        eu
2026-05-29T09:38:46.779654  93.183.88.188:443              FAIL   -        eu
2026-05-29T09:38:46.783168  general.irancell-ir.cfd:443    FAIL   -        eu
2026-05-29T09:38:46.785097  sabr.ssboriat.co.uk:531        FAIL   -        eu
2026-05-29T09:38:46.789625  51.120.71.120:443              FAIL   -        eu
2026-05-29T09:38:46.790608  Masi.zban-df.info:8888         FAIL   -        eu
2026-05-29T09:38:46.794000  87.248.132.99:8443             FAIL   -        eu
2026-05-29T09:38:46.798680  yazdan.htop.info:443           FAIL   -        eu
2026-05-29T09:38:46.798691  152.232.8.182:443              FAIL   -        eu
2026-05-29T09:38:46.805624  85.192.31.18:443               FAIL   -        ru
2026-05-29T09:38:46.823038  176.65.135.65:23               FAIL   -        eu
2026-05-29T09:38:46.826049  www.beastmode.icu.:8888        FAIL   -        eu
2026-05-29T09:38:46.839232  5.75.197.246:443               FAIL   -        eu
2026-05-29T09:38:46.856973  185.3.200.136:4455             FAIL   -        eu
2026-05-29T09:38:46.892000  sitemcinet.co.uk:443           FAIL   -        eu
2026-05-29T09:38:46.937760  VIP.alotaxi.info:4515          FAIL   -        eu
2026-05-29T09:38:46.949459  62.238.39.116:4443             FAIL   -        eu
2026-05-29T09:38:46.972545  46.225.29.180:443              FAIL   -        eu
2026-05-29T09:38:46.974775  87.248.132.34:70               FAIL   -        eu
2026-05-29T09:38:46.977678  https-cdn-ddns.itdeveloper.info.:88 FAIL   -        eu
2026-05-29T09:38:46.985672  185.84.157.102:9443            FAIL   -        eu
2026-05-29T09:38:46.986249  195.254.165.251:25565          FAIL   -        eu
2026-05-29T09:38:47.015785  paitakht.arasto.info:443       FAIL   -        eu
2026-05-29T09:38:47.027350  195.254.165.211:4455           FAIL   -        eu
2026-05-29T09:38:47.043741  cloud.mtproxy.pw:443           FAIL   -        ru
2026-05-29T09:38:47.049732  World-press.Online-shop.speeker-voice.avadox-zhoan.info:144 FAIL   -        eu
2026-05-29T09:38:47.057052  app.aftabneta2.ir:85           FAIL   -        eu
2026-05-29T09:38:47.091602  He.jlpoKcu.cloud:443           FAIL   -        ru
2026-05-29T09:38:47.091621  195.254.165.252:25565          FAIL   -        eu
2026-05-29T09:38:47.102680  194.120.230.106:433            FAIL   -        eu
------------------------------------------------------------

Top 20 fastest proxies:
  172.65.234.91:9443 | ping=0.002s | eu | zmvr#ipkgbuild.org
  172.65.114.183:25565 | ping=0.002s | eu | 
  172.65.38.26:9443 | ping=0.002s | eu | zmvr#ipkgbuild.org
  iranroad.shop:25565 | ping=0.013s | eu | 
  bomberoo.shop:25565 | ping=0.018s | eu | 
  5.78.133.252:8443 | ping=0.078s | eu | 
  176.65.128.238:8443 | ping=0.084s | eu | 
  37.49.226.110:15 | ping=0.085s | eu | 
  87.248.129.239:25565 | ping=0.088s | eu | 
  2.26.146.71:8080 | ping=0.088s | eu | 
  87.248.129.4:8443 | ping=0.089s | eu | 
  195.254.165.12:4455 | ping=0.089s | eu | 
  195.254.165.23:8443 | ping=0.089s | eu | 
  195.254.165.4:8443 | ping=0.089s | eu | 
  195.254.165.23:9443 | ping=0.089s | eu | 
  94.183.219.141:443 | ping=0.09s | eu | 
  5.189.165.109:443 | ping=0.091s | eu | a}=uq@opxgoogleapis.com
  87.248.129.205:25565 | ping=0.091s | eu | 
  87.248.129.13:15 | ping=0.094s | eu | 
  178.105.168.17:443 | ping=0.095s | eu | ~b;o:googleapis.com
